"ID","Player","Team","Position","Status","Age","Opponent","FPts","FP/G","%D","ADP","Ros"
"*03gu4*","Harry Maguire","MUN","D","FA","32","ARS Sun 11:30AM","110.25","0","15","249.8","20%"
"*05tr9*","Mathias Jensen","BRF","M","FA","29","@NOT Sun 9:00AM","109.75","0","0","-","0%"
"*066sd*","Myles Lewis-Skelly","ARS","D","FA","18","@MUN Sun 11:30AM","107.75","0","63","126.8","78%"
"*062pl*","Lisandro Martinez","MUN","D","FA","27","ARS Sun 11:30AM","105.5","0","2","1179.4","5%"
"*0626q*","Simon Adingra","SUN","M","KLPD","23","WHU Sat 10:00AM","105.25","0","100","78.6","98%"
"*06p4k*","Matthijs de Ligt","MUN","D","ThatGuy","25","ARS Sun 11:30AM","104.25","0","5","388.2","5%"
"*0635j*","Chris Richards","CRY","D","FA","25","@CHE Sun 9:00AM","99.75","0","71","138.6","62%"
"*06crm*","Pau Torres","AVL","D","FA","28","NEW Sat 7:30AM","99.5","0","2","1180.4","5%"
"*063e8*","Goncalo Guedes","WOL","F","FA","28","MCI Sat 12:30PM","98.75","0","2","1244.4","2%"
"*06rgg*","Michael Kayode","BRF","D","Martial","21","@NOT Sun 9:00AM","97.75","0","100","87.3","98%"
"*04azm*","Connor Roberts","BUR","D","FA","29","@TOT Sat 10:00AM","97.25","0","2","1235.4","2%"
"*03vll*","Michail Antonio","WHU","F","FA","35","@SUN Sat 10:00AM","95","0","2","1224.4","2%"
"*05unu*","Romeo Lavia","CHE","M","FA","21","CRY Sun 9:00AM","95","0","2","1201.4","5%"
"*04e1c*","Lewis Dunk","BHA","D","FA","33","FUL Sat 10:00AM","93.75","0","2","1237.4","2%"
"*04ge7*","Donyell Malen","AVL","F","FA","26","NEW Sat 7:30AM","92","0","5","367.2","8%"
"*04f6o*","Will Hughes","CRY","M","FA","30","@CHE Sun 9:00AM","90.5","0","3","463.1","2%"
"*061y6*","Ryan Yates","NOT","M","FA","27","BRF Sun 9:00AM","90","0","0","-","0%"
"*04e1e*","Ben White","ARS","D","PMSWJ","27","@MUN Sun 11:30AM","89.25","0","80","110.5","88%"
"*06y29*","Habib Diarra","SUN","M","FA","21","WHU Sat 10:00AM","88.5","0","19","230","10%"
"*06fxu*","Ibrahim Sangare","NOT","M","FA","27","BRF Sun 9:00AM","87.25","0","0","-","0%"
"*06mnc*","Daichi Kamada","CRY","M","FA","28","@CHE Sun 9:00AM","87","0","0","-","0%"
"*05tre*","Vitaly Janelt","BRF","M","FA","27","@NOT Sun 9:00AM","86.75","0","0","-","2%"
"*062ts*","Djed Spence","TOT","D","FA","24","BUR Sat 10:00AM","85.75","0","31","170.9","28%"
"*06v01*","Ilia Gruev","LEE","M","FA","25","EVE Mon 3:00PM","85","0","3","464.1","2%"
"*06dqv*","Luca Koleosho","BUR","M","FA","20","@TOT Sat 10:00AM","84.75","0","0","-","2%"
"*04qfq*","Matt ORiley","BHA","M","FA","24","FUL Sat 10:00AM","84.5","0","83","121.7","75%"
"*062a9*","Sven Botman","NEW","D","FA","25","@AVL Sat 7:30AM","83.75","0","19","244.4","12%"
"*02oq8*","James Ward-Prowse","WHU","M","KLPD","30","@SUN Sat 10:00AM","81","0","64","131.8","70%"
"*04mqv*","Emerson","WHU","D","FA","30","@SUN Sat 10:00AM","79.25","0","0","-","0%"
"*04ge9*","Eddie Nketiah","CRY","F","FA","26","@CHE Sun 9:00AM","78.25","0","10","337.8","12%"
"*03ek4*","Patrick Bamford","LEE","F","FA","31","EVE Mon 3:00PM","77.75","0","0","-","2%"
"*05w91*","Hwang Hee-Chan","WOL","F","FA","29","MCI Sat 12:30PM","77","0","2","1114.4","5%"
"*063hu*","Amadou Onana","AVL","M","FA","23","NEW Sat 7:30AM","75.25","0","2","1018.4","2%"
"*06c4o*","Lyle Foster","BUR","F","FA","24","@TOT Sat 10:00AM","74.75","0","2","1211.4","2%"
